YEAR,Car_Age,MILEAGE,CAR_PRICE,Website
2014,10,99148,9790,AUTOTRADER
2018,6,32237,21888,AUTOTRADER
2017,7,84960,14500,AUTOTRADER
2016,8,83082,15995,CARFAX
2019,5,116359,13498,CARFAX
2021,3,57610,19997,CARFAX
2020,4,72074,27990,CARVANA
2012,12,86307,13990,CARVANA
2016,8,81363,17990,CARVANA
2014,10,124004,8900,CARGURU
2011,13,16400,5995,CARGURU
2021,3,23747,20545,CARGURU
2022,2,30927,22915,CARGURU
2013 ,11,103561,9984,CARGURU
2014,10,117095,10388,CARGURU
2023,1,37,46870,CARS.COM
2020,4,56016,21990,CARS.COM
2012,12,123855,8233,CARS.COM
2023,1,23398,37995,CARS.COM
2021,3,58786,20888,CARS.COM